route_num_1,route_num_2,stop_id,pattern_id_1,pattern_id_2
32,75,26368,10032119,11075163
31,75,26368,40031044,11075163
31,75,26368,40031045,11075163
32,75,26368,10032119,11075157
31,75,26368,40031045,11075157
32,75,26368,10032119,11075155
31,75,26368,40031043,11075155
31,75,26368,40031044,11075155
31,75,26368,40031045,11075155
27,33,1370,10027026,11033054
345,348,17010,20345015,11348005
331,345,6940,30331020,20345015
27,33,1370,10027026,11033052
345,348,17010,20345010,11348005
2,3,2220,21002561,21003564
19,124,2220,20019026,21124051
19,124,2220,20019026,21124052
345,348,17010,20345005,11348005
331,345,5489,30331014,20345005
331,345,5489,30331015,20345005
13,2,2220,20013020,21002559
4,2,2220,21004568,21002559
43,44,29380,11043043,11044011
43,44,29380,11043048,11044011
236,238,74390,20236060,11238060
49,7,1085,20049040,21007044
49,7,1085,20049040,21007046
49,7,1085,20049040,21007047
49,7,1085,20049040,21007051
3,4,12880,10003573,10004560
166,169,57452,20166054,11169019
166,169,57452,20166053,11169019
49,7,1085,20049030,21007044
49,7,1085,20049030,21007046
49,7,1085,20049030,21007047
75,32,9976,20075166,21032115
75,31,9976,20075166,31031046
346,347,17010,20346008,11347009
3,4,12880,10003559,10004559
3,4,12880,10003559,10004560
3,13,12880,10003559,11013018
75,32,9976,20075160,21032115
4,3,12880,10004580,10003558
3,4,12880,10003557,10004560
123,121,190,10123016,21121092
75,32,9976,20075156,21032115
75,31,9976,20075156,31031046
33,27,2220,20033057,21027027
236,238,74390,20236060,11238060
49,7,1085,20049040,21007051
49,7,1085,20049030,21007047
49,7,1085,20049040,21007047
158,601,675,10158015,20601006
49,7,1085,20049030,21007046
49,7,1085,20049040,21007046
49,7,1085,20049030,21007044
49,7,1085,20049040,21007044
19,124,2220,20019026,21124052
24,124,2220,20024102,21124052
19,124,2220,20019026,21124051
182,187,60634,10182009,21187013
3,4,2220,21003567,21004585
32,65,26368,10032119,11065079
32,75,26368,10032119,11075155
32,75,26368,10032119,11075157
32,75,26368,10032119,11075163
44,43,10911,20044009,20043030
44,43,10911,20044006,20043033
44,43,10911,20044006,20043038
44,43,10911,20044006,20043050
347,346,38962,20347011,11346009
4,2,2220,21004568,21002559
4,3,2220,21004568,21003564
